label	question	answer_test	answer
1	Я все еще не получила диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Я все еще не получила диплом
1	Не поступил мой диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Не поступил мой диплом
1	Так диплом и не получил	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Так диплом и не получил
1	Я так диплом и не получил	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Я так диплом и не получил
1	Диплом я так до сих пор и не получил	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Диплом я так до сих пор и не получил
1	Как получить диплом по прошедшему обучению	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как получить диплом по прошедшему обучению
1	Как получить диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как получить диплом
1	Как мне получить диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как мне получить диплом
1	Как получить документы об образовании	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как получить документы об образовании
1	Диплом до сих пор не получила	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Диплом до сих пор не получила
1	Удостоверение не получила	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Удостоверение не получила
1	Как получить документ подтверждающий обучение	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как получить документ подтверждающий обучение
1	Закончил обучение и мне нужен документ	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Закончил обучение и мне нужен документ
1	Прошел обучение, когда мне ждать документы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Прошел обучение, когда мне ждать документы
1	Когда ждать документа о завершении курса	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда ждать документа о завершении курса
1	Когда ждать документа о завершении обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда ждать документа о завершении обучения
1	Мне нужно, чтобы выслали диплом об окончании курса	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Мне нужно, чтобы выслали диплом об окончании курса
1	Когда вышлют диплом	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда вышлют диплом
1	Когда получу документы по уже законченным курсам	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда получу документы по уже законченным курсам
1	Когда получу документы по обучению	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда получу документы по обучению
1	Где сейчас находятся мои документы по обучению	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Где сейчас находятся мои документы по обучению
1	Как я самостоятельно могу отслеживать свои документы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как я самостоятельно могу отслеживать свои документы
1	Когда я могу получить документы об окончании обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда я могу получить документы об окончании обучения
1	Как узнать, что документы по обучениям отправлены	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как узнать, что документы по обучениям отправлены
1	Когда придут оригиналы документов по обучению	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда придут оригиналы документов по обучению
1	Как получить документы за курсы	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как получить документы за курсы
1	Как я могу найти документы и свидетельства об окончании курсов	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Как я могу найти документы и свидетельства об окончании курсов
1	Когда оформят документ по итогам обучения	Вот ссылка по вашему вопросу https://id2.action-media.ru/Feedback/108?docId=112010	Когда оформят документ по итогам обучения
